ue,stage,C_TRX_UE,C_TRX_BS,C_TRX,C_Layer_no_power,C_Layer,C_ABM_hist,lambda_bs_beam,lambda_ue_beam,ue_beams,bs_pattern,bs_layer_pattern,bs_beams_abm
1099,Stage4,47.32,37.06,37.06,,35.31,10.08;16.08;19.70;21.98;23.29;24.58;25.44;26.29;26.78;27.25;27.54;27.96;28.20;28.56;28.90;29.19;29.47;29.72;29.92;30.13;30.29;30.51;30.72;30.92;31.15;31.30;31.46;31.59;31.73;31.88;32.01;32.19;32.40;32.50;32.61;32.74;32.83;32.97;33.10;33.23;33.40;33.49;33.59,,,"4,9,0",5,17,"17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17"
1100,Stage1,44.72,,,,,,,,"4,9,0",,,
1100,Stage2,44.72,35.61,,,,,,,"4,9,0",5,,
1100,PowerOpt,44.72,35.61,35.61,,,,"196.66,31.27,6.22,5.66,5.08,4.52,1.95,1.79,0.64,0.51,0.36,0.31,0.29,0.14,0.10,0.08,0.07,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.01","2.83,0.15,0.02","4,9,0",5,,
1100,Stage3,44.72,35.61,35.61,34.03,,,,,"4,9,0",5,"17,17,17,17,58",
1100,Stage3_PowerOpt,44.72,35.61,35.61,,34.03,,"49.80,8.20,1.74,1.57,1.14,0.58,0.45,0.15,0.14,0.08,0.04,0.04,0.03,0.01","2.87,0.12,0.01","4,9,0",5,"17,17,17,17,58",
1100,Stage4,44.72,35.61,35.61,,34.03,10.22;16.09;19.17;20.93;22.27;23.14;24.08;25.01;25.59;25.99;26.36;26.71;27.08;27.33;27.67;28.03;28.34;28.57;28.76;28.97;29.18;29.35;29.55;29.76;29.98;30.14;30.29;30.43;30.59;30.72;30.87;31.02;31.22;31.33;31.43;31.58;31.67;31.79;31.88;31.99;32.14;32.25;32.34,,,"4,9,0",5,"17,17,17,17,58","17,17,17,17,17,58,17,17,17,17,58,17,17,17,17,17,17,17,58,17,17,58,17,17,17,17,17,17,17,17,17,17,17,17,58,17,17,58,17,17,17,17,17"
1101,Stage1,48.05,,,,,,,,"4,9",,,
1101,Stage2,48.05,28.21,,,,,,,"4,9",5,,
1101,PowerOpt,48.05,28.21,28.22,,,,"150.74,61.94,15.69,7.11,5.61,2.74,2.36,2.09,2.05,1.35,0.94,0.75,0.59,0.37,0.27,0.21,0.17,0.17,0.16,0.10,0.08,0.07,0.06,0.06,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01","1.87,0.13","4,9",5,,
1101,Stage3,48.05,28.21,28.22,27.59,,,,,"4,9",5,17,
1101,Stage3_PowerOpt,48.05,28.21,28.22,,27.59,,"40.60,16.23,2.58,1.84,0.93,0.55,0.46,0.38,0.16,0.07,0.05,0.04,0.03,0.02,0.01,0.01","1.92,0.08","4,9",5,17,
1101,Stage4,48.05,28.21,28.22,,27.59,9.68;14.91;17.25;18.51;19.46;20.20;20.81;21.32;21.74;22.08;22.37;22.63;22.85;23.09;23.32;23.54;23.75;23.91;24.04;24.18;24.32;24.45;24.57;24.71;24.84;24.95;25.04;25.14;25.22;25.32;25.43;25.54;25.65;25.74;25.82;25.89;25.97;26.05;26.12;26.21;26.28,,,"4,9",5,17,"17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17"
1102,Stage1,42.73,,,,,,,,5,,,
1102,Stage2,42.73,16.43,,,,,,,5,5,,
1102,PowerOpt,42.73,16.43,16.43,,,,"201.87,26.81,10.96,5.81,4.00,2.45,1.48,0.83,0.66,0.40,0.37,0.10,0.06,0.05,0.04,0.04,0.01",1.00,5,5,,
1102,Stage3,42.73,16.43,16.43,16.19,,,,,5,5,17,
1102,Stage3_PowerOpt,42.73,16.43,16.43,,16.19,,"54.73,7.23,1.05,0.38,0.35,0.10,0.08,0.03,0.02,0.01,0.01",1.00,5,5,17,
1102,Stage4,42.73,16.43,16.43,,16.19,8.04;10.65;11.37;11.89;12.30;12.63;12.91;13.16;13.36;13.50;13.62;13.73;13.84;13.94;14.05;14.16;14.27;14.35;14.42;14.49;14.55;14.62;14.68;14.76;14.83;14.88;14.94;14.98;15.03;15.07;15.12;15.17;15.23;15.27;15.31;15.35;15.38;15.42,,,5,5,17,"17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17"
1103,Stage1,36.99,,,,,,,,"5,9,0",,,
1103,Stage2,36.99,29.92,,,,,,,"5,9,0",5,,
1103,PowerOpt,36.99,29.92,29.92,,,,"173.20,64.57,8.21,3.77,3.49,1.00,0.81,0.35,0.17,0.15,0.06,0.05,0.04,0.03,0.02,0.02","2.97,0.02,0.00","5,9,0",5,,
1103,Stage3,36.99,29.92,29.92,28.08,,,,,"5,9,0",5,9,
1103,Stage3_PowerOpt,36.99,29.92,29.92,,28.08,,"43.35,16.18,2.06,0.93,0.89,0.26,0.20,0.04,0.04,0.02,0.01","2.98,0.02,0.00","5,9,0",5,9,
1103,Stage4,36.99,29.92,29.92,,28.08,9.30;12.60;14.42;15.78;16.79;17.64;18.47;19.27;19.85;20.21;20.55;20.85;21.12;21.41;21.75;22.09;22.34;22.54;22.72;22.87;23.03;23.21;23.39;23.61;23.82;23.98;24.12;24.27;24.42;24.55;24.69;24.87;25.03;25.15;25.26;25.36;25.45;25.55;25.67;25.79;25.92;26.02;26.11;26.20;26.30;26.40;26.50;26.62;26.74,,,"5,9,0",5,9,"9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9"
1104,Stage1,42.39,,,,,,,,5,,,
1104,Stage2,42.39,16.45,,,,,,,5,5,,
1104,PowerOpt,42.39,16.45,16.45,,,,"188.15,33.93,13.91,6.35,4.60,3.70,2.35,1.15,0.49,0.36,0.34,0.24,0.11,0.10,0.07,0.05,0.02,0.01",1.00,5,5,,
1104,Stage3,42.39,16.45,16.45,16.39,,,,,5,5,9,
1104,Stage3_PowerOpt,42.39,16.45,16.45,,16.39,,"46.46,8.41,3.94,1.75,1.19,0.92,0.58,0.31,0.13,0.09,0.07,0.05,0.03,0.03,0.02",1.00,5,5,9,
1104,Stage4,42.39,16.45,16.45,,16.39,8.10;10.74;11.51;12.05;12.47;12.81;13.09;13.33;13.52;13.67;13.81;13.93;14.04;14.16;14.27;14.38;14.47;14.55;14.63;14.70;14.77;14.83;14.90;14.97;15.04;15.09;15.14;15.19;15.23;15.28;15.33;15.38;15.43;15.47;15.51;15.55;15.59,,,5,5,9,"9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9"
1105,Stage1,24.82,,,,,,,,4,,,
1105,Stage2,24.82,16.27,,,,,,,4,0,,
1105,PowerOpt,24.82,16.27,16.27,,,,"204.05,47.72,2.38,1.43,0.31,0.05,0.01",1.00,4,0,,
1105,Stage3,24.82,16.27,16.27,15.99,,,,,4,0,24,
1105,Stage3_PowerOpt,24.82,16.27,16.27,,15.99,,"51.02,11.93,0.59,0.35,0.08,0.01",1.00,4,0,24,
1105,Stage4,24.82,16.27,16.27,,15.99,8.17;10.41;11.14;11.67;12.08;12.42;12.70;12.94;13.14;13.29;13.41;13.51;13.62;13.72;13.83;13.94;14.05;14.14;14.21;14.27;14.33;14.40;14.46;14.53;14.61;14.67;14.72;14.77;14.81;14.86;14.91;14.96;15.02;15.06;15.10;15.14;15.17;15.21,,,4,0,24,"24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24"
1106,Stage1,45.41,,,,,,,,"5,0,9",,,
1106,Stage2,45.41,35.18,,,,,,,"5,0,9",4,,
